,poi_id,sg_id,placekey,parent_placekey,name,brands,top_category,sub_category,naics,lat,lon,address,city,region,zipcode,is_shared_polygon,has_parking_lot,is_synthetic,area_sqft
3259713,3259713,,223-222@8gk-ttg-nnq,,Birmingham Fire And Rescue Service Station 20,,"Justice, Public Order, and Safety Activities",Fire Protection,922160,33.49302,-86.872185,4825 Avenue W,Birmingham,AL,35208,,,,
3259874,3259874,,223-222@8gk-tt9-dsq,,Hope House Residential Youth Shelter,,"Community Food and Housing, and Emergency and Other Relief Services",Temporary Shelters,624221,33.51595,-86.81832,1323 7th Ave N,Birmingham,AL,35203,,,,
3260345,3260345,,22j-222@8gk-ttz-wtv,,Immanuel Church Inc,,Religious Organizations,Religious Organizations,813110,33.503983,-86.782265,1211 28th St S Ste 202,Birmingham,AL,35205,,,,
3261347,3261347,,225-222@8gm-95f-7wk,,T Mobile USA,,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,33.53651,-86.88117,280 Highway Ave,Birmingham,AL,35228,,,,
3264238,3264238,,22k-222@8gk-twc-9cq,,Classic Travel Connection,,Shoe Stores,Shoe Stores,448210,33.417343,-86.81088,700 Century Park S Ste 129,Birmingham,AL,35226,,,,
3264492,3264492,,zzw-222@8gk-t8y-r49,,McMillan's Big & Tall,,Clothing Stores,Women's Clothing Stores,448120,33.530415,-86.71554,7893 Crestwood Blvd,Birmingham,AL,35210,,,,
3264883,3264883,,zzy-222@8gk-tc9-dvz,,Steel City Smoke Shop,,Other Miscellaneous Store Retailers,Tobacco Stores,453991,33.594017,-86.69421,443 Huffman Rd,Birmingham,AL,35215,,,,
3265239,3265239,,22b-22d@8gk-tv2-nh5,,Neville John PHD,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330,33.499474,-86.78776,2305 Arlington Ave S,Birmingham,AL,35205,,,,
3266202,3266202,,zzw-224@8gk-td2-33q,,Carraway Medical Center,,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,622110,33.535988,-86.81064,1600 Carraway Blvd,Birmingham,AL,35234,,,,
3266290,3266290,,zzw-222@8gk-ttf-rc5,,Jet Pep,,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,33.509674,-86.886986,1716 20th,Birmingham,AL,35218,,,,
3266430,3266430,,228-222@8gm-977-mtv,,Undercurrent Boat Upholstery,,Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,811420,33.49286,-86.902916,920 Valley Road Pl,Birmingham,AL,35208,,,,
3268264,3268264,,222-222@8gk-tc2-v9f,,TitleMax,TitleMax,Nondepository Credit Intermediation,Consumer Lending,522291,33.60502,-86.6911,9790 Parkway E,Birmingham,AL,35215,,,,
3269288,3269288,,zzw-222@8gk-tv4-kmk,,BBVA Compass Midtown Branch,,Activities Related to Credit Intermediation,Mortgage and Nonmortgage Loan Brokers,522310,33.512463,-86.80339,15 20th St S,Birmingham,AL,35233,,,,
3269830,3269830,,224-222@8gk-ttq-skf,,South Moon Under,South Moon Under,Clothing Stores,Family Clothing Stores,448140,33.447044,-86.73223,220 Summit Blvd,Birmingham,AL,35243,,,,
3272077,3272077,,zzy-224@8gk-tpx-j9z,zzy-222@8gk-tpx-gtv,New Balance,New Balance,Shoe Stores,Shoe Stores,448210,33.42808,-86.7085,4618 Us 280,Birmingham,AL,35242,,,,
3272211,3272211,,zzw-222@8gk-t8q-qzz,222-222@8gk-t8q-qxq,Mark's Quality Cleaners,,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),812320,33.4356,-86.66354,7364 Cahaba Valley Rd,Birmingham,AL,35242,,,,
3272432,3272432,,222-222@8gk-tv5-7wk,,Ne Miles Jewish Day School,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,33.511692,-86.75427,4000 Montclair Rd,Birmingham,AL,35213,,,,
3274699,3274699,,zzw-222@8gk-ttb-5cq,,Birmingham Daiquiris,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,33.509754,-86.8227,324 9th St N,Birmingham,AL,35203,,,,
3275037,3275037,,222-222@8gk-tv9-ht9,,Monday Night Brewing Birmingham,,Beverage Manufacturing,Breweries,312120,33.50648,-86.81531,1143 1st Ave S,Birmingham,AL,35233,,,,
3276507,3276507,,222-223@8gk-tv7-2ff,,Hayes K 8,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,33.53209,-86.77141,505 43rd St N,Birmingham,AL,35222,,,,
3278396,3278396,,zzw-222@8gk-ttd-yvz,,West End Acad,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,33.48404,-86.86762,1840 Pearson Ave SW,Birmingham,AL,35211,,,,
3279492,3279492,,228-222@8gk-tv3-389,,MyEyeDr OD,,Health and Personal Care Stores,Optical Goods Stores,446130,33.49495,-86.78178,2000 Cahaba Rd,Birmingham,AL,35223,,,,
3279987,3279987,,226-223@8gk-t8p-fzz,223-222@8gk-t8p-g6k,Byron Jones MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.433083,-86.718155,3686 Grandview Pkwy Ste 720,Birmingham,AL,35243,,,,
3280214,3280214,,zzw-222@8gk-tv4-5mk,zzw-22c@8gk-tv4-45f,Home Deals Alabama,,Home Health Care Services,Home Health Care Services,621610,33.514217,-86.80774,120 19th St N,Birmingham,AL,35203,,,,
3281126,3281126,,226-222@8gk-tv2-w49,,American Sentinel University,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,33.50201,-86.79483,2101 Magnolia Ave S,Birmingham,AL,35205,,,,
3281464,3281464,,zzw-224@8gk-tv2-5j9,zzw-227@8gk-tv2-5j9,OB GYN Associates Of Alabama PC,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.508472,-86.7896,800 Saint Vincents Dr Ste 600,Birmingham,AL,35205,,,,
3281686,3281686,,zzw-222@8gk-tsx-cwk,,Walgreens,Walgreens,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,33.470707,-86.82359,101 Green Springs Hwy,Birmingham,AL,35209,,,,
3282101,3282101,,zzw-222@8gk-tv9-z4v,,McDonald's,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.504665,-86.80802,1501 5th Ave S,Birmingham,AL,35233,,,,
