NAME,Total_Population,Median_Household_Income,Mean_Household_Income,Under_5,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_34,Age_35_to_44,Age_45_to_54,Age_55_to_64,Age_65_to_74,Age_75_plus,Income_Less_10k,Income_10k_15k,Income_15k_20k,Income_20k_25k,Income_25k_35k,Income_35k_50k,Income_50k_75k,Income_75k_100k,Income_100k_150k,Income_150k_200k,Income_200k_plus,White_Alone,Black_Alone,American_Indian_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,No_Schooling,High_School_Grad,Associates_Degree,Bachelors_Degree,Graduate_or_Professional_Degree,Total_Male,Total_Female,state,county,tract,block group
"Block Group 2, Census Tract 134, Jefferson County, Alabama",1682.0,76181.0,54169500.0,12.0,23.0,23.0,50.0,11.0,0.0,0.0,5.0,124.0,20.0,103.0,8.0,12.0,26.0,52.0,0.0,18.0,26.0,0.0,55.0,68.0,53.0,22.0,1660.0,0.0,0.0,0.0,0.0,0.0,10.0,264.0,114.0,421.0,51.0,740.0,942.0,1,73,13400,2
"Block Group 3, Census Tract 134, Jefferson County, Alabama",1090.0,42500.0,24194200.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,19.0,53.0,46.0,46.0,47.0,61.0,25.0,54.0,8.0,33.0,17.0,52.0,0.0,93.0,56.0,32.0,1052.0,0.0,0.0,0.0,0.0,6.0,0.0,223.0,104.0,112.0,67.0,597.0,493.0,1,73,13400,3
"Block Group 4, Census Tract 134, Jefferson County, Alabama",497.0,45662.0,10605500.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,20.0,0.0,0.0,54.0,9.0,0.0,34.0,37.0,36.0,33.0,412.0,0.0,0.0,0.0,52.0,0.0,0.0,90.0,60.0,50.0,0.0,187.0,310.0,1,73,13400,4
"Block Group 1, Census Tract 136.01, Jefferson County, Alabama",717.0,55000.0,15809100.0,15.0,16.0,23.0,50.0,0.0,8.0,18.0,7.0,16.0,9.0,13.0,0.0,42.0,18.0,4.0,0.0,9.0,10.0,33.0,18.0,55.0,34.0,218.0,444.0,0.0,0.0,0.0,50.0,5.0,0.0,295.0,23.0,53.0,31.0,362.0,355.0,1,73,13601,1
"Block Group 2, Census Tract 136.01, Jefferson County, Alabama",777.0,-666666666.0,9807800.0,190.0,44.0,33.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,30.0,35.0,26.0,0.0,16.0,0.0,24.0,0.0,0.0,5.0,19.0,8.0,0.0,400.0,24.0,7.0,0.0,346.0,0.0,0.0,109.0,49.0,67.0,22.0,457.0,320.0,1,73,13601,2
"Block Group 3, Census Tract 136.01, Jefferson County, Alabama",354.0,18802.0,3869400.0,0.0,36.0,34.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,72.0,9.0,18.0,10.0,0.0,0.0,0.0,5.0,9.0,6.0,333.0,0.0,0.0,0.0,0.0,15.0,0.0,55.0,34.0,5.0,0.0,128.0,226.0,1,73,13601,3
"Block Group 4, Census Tract 136.01, Jefferson County, Alabama",629.0,21622.0,12781800.0,19.0,0.0,0.0,19.0,21.0,0.0,0.0,16.0,0.0,46.0,26.0,6.0,48.0,16.0,121.0,5.0,13.0,2.0,17.0,0.0,14.0,6.0,14.0,555.0,0.0,0.0,0.0,60.0,0.0,0.0,218.0,49.0,5.0,40.0,336.0,293.0,1,73,13601,4
"Block Group 5, Census Tract 136.01, Jefferson County, Alabama",848.0,58250.0,19877300.0,0.0,0.0,40.0,22.0,5.0,0.0,0.0,15.0,0.0,27.0,0.0,75.0,29.0,28.0,4.0,17.0,0.0,0.0,14.0,0.0,43.0,167.0,0.0,780.0,0.0,0.0,0.0,0.0,68.0,0.0,163.0,126.0,49.0,20.0,237.0,611.0,1,73,13601,5
"Block Group 1, Census Tract 138.01, Jefferson County, Alabama",659.0,42031.0,7919500.0,15.0,67.0,0.0,10.0,28.0,34.0,0.0,4.0,8.0,5.0,5.0,33.0,14.0,5.0,8.0,4.0,9.0,4.0,31.0,21.0,7.0,0.0,130.0,214.0,0.0,0.0,0.0,250.0,65.0,0.0,99.0,21.0,0.0,0.0,326.0,333.0,1,73,13801,1
"Block Group 2, Census Tract 138.01, Jefferson County, Alabama",633.0,39583.0,10797200.0,24.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,24.0,60.0,0.0,7.0,8.0,15.0,34.0,40.0,6.0,7.0,2.0,9.0,54.0,9.0,545.0,0.0,0.0,0.0,0.0,79.0,9.0,138.0,64.0,2.0,25.0,225.0,408.0,1,73,13801,2
"Block Group 3, Census Tract 138.01, Jefferson County, Alabama",711.0,30093.0,15788300.0,13.0,12.0,8.0,0.0,14.0,0.0,0.0,46.0,51.0,11.0,52.0,48.0,61.0,24.0,48.0,0.0,27.0,35.0,9.0,21.0,13.0,0.0,0.0,692.0,0.0,0.0,0.0,11.0,8.0,0.0,194.0,62.0,24.0,42.0,448.0,263.0,1,73,13801,3
"Block Group 1, Census Tract 139.01, Jefferson County, Alabama",1405.0,52206.0,35219500.0,19.0,22.0,13.0,9.0,27.0,4.0,0.0,68.0,110.0,0.0,33.0,34.0,74.0,36.0,17.0,35.0,5.0,41.0,16.0,5.0,65.0,76.0,297.0,1089.0,0.0,9.0,0.0,0.0,10.0,0.0,290.0,101.0,145.0,59.0,614.0,791.0,1,73,13901,1
"Block Group 1, Census Tract 139.02, Jefferson County, Alabama",1480.0,60268.0,43451100.0,49.0,103.0,39.0,4.0,6.0,0.0,25.0,24.0,68.0,46.0,72.0,8.0,27.0,15.0,15.0,48.0,41.0,7.0,5.0,45.0,49.0,78.0,423.0,959.0,0.0,0.0,0.0,0.0,98.0,0.0,300.0,162.0,122.0,13.0,639.0,841.0,1,73,13902,1
"Block Group 2, Census Tract 139.02, Jefferson County, Alabama",876.0,62333.0,22072300.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,16.0,12.0,25.0,16.0,6.0,11.0,29.0,0.0,12.0,5.0,37.0,55.0,606.0,258.0,0.0,0.0,0.0,0.0,12.0,12.0,262.0,82.0,41.0,89.0,393.0,483.0,1,73,13902,2
