segment_id,Purpose,origin_zone,weekday,trips,service_days,policy_flexible,peak_time_bin,peak_time_share,active_time_bins,alternative_time_share_raw,average_alternative_shift_minutes_raw,expected_shift_potential_minutes_raw,temporal_flexibility_index_raw,meets_reliability_filter,temporal_eligible,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,active_destination_zones,sum_squared_destination_shares,alternative_destination_count_raw,effective_destination_count_raw,geographical_flexibility_index_raw,dominant_destination_zone,dominant_destination_visits,dominant_destination_share,geographical_eligible,alternative_destination_count,effective_destination_count,geographical_flexibility_index,dominant_destination_zone_final,dominant_destination_visits_final,dominant_destination_share_final,G_s
Dialysis | r21_c17 | Wednesday,Dialysis,r21_c17,Wednesday,297,52,True,12:30-13:00,0.28619528619528617,11,0.7138047138047139,82.0754716981132,58.58585858585859,0.43434343434343436,True,True,0.7138047138047139,82.0754716981132,58.58585858585859,0.43434343434343436,0.7138047138047139,82.0754716981132,0.43434343434343436,5.0,0.22436486072849712,4.0,4.457025920873123,0.7756351392715028,r19_c12,89.0,0.2996632996632997,True,4.0,4.457025920873123,0.7756351392715028,r19_c12,89.0,0.2996632996632997,0.7756351392715028
Dialysis | r21_c25 | Friday,Dialysis,r21_c25,Friday,2,2,True,10:00-10:30,0.5,2,0.5,30.0,15.0,0.125,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,2.0,1.0,False,,,,,,,
Dialysis | r21_c25 | Monday,Dialysis,r21_c25,Monday,4,2,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,4.0,1.0,False,,,,,,,
Dialysis | r21_c25 | Wednesday,Dialysis,r21_c25,Wednesday,1,1,True,10:30-11:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r21_c17,1.0,1.0,False,,,,,,,
Dialysis | r21_c9 | Friday,Dialysis,r21_c9,Friday,108,53,True,10:30-11:00,0.5740740740740741,4,0.42592592592592593,226.95652173913044,96.66666666666667,0.40740740740740744,True,True,0.42592592592592593,226.95652173913044,96.66666666666667,0.40740740740740744,0.42592592592592593,226.95652173913044,0.40740740740740744,2.0,0.5207475994513031,1.0,1.9203161014158712,0.4792524005486969,r21_c9,65.0,0.6018518518518519,True,1.0,1.9203161014158712,0.4792524005486969,r21_c9,65.0,0.6018518518518519,0.4792524005486969
Dialysis | r21_c9 | Monday,Dialysis,r21_c9,Monday,109,52,True,10:30-11:00,0.5412844036697247,4,0.45871559633027525,237.0,108.71559633027523,0.4518348623853211,True,True,0.45871559633027525,237.0,108.71559633027523,0.4518348623853211,0.45871559633027525,237.0,0.4518348623853211,4.0,0.4891002440871981,3.0,2.044570641886078,0.5108997559128019,r21_c9,60.0,0.5504587155963303,True,3.0,2.044570641886078,0.5108997559128019,r21_c9,60.0,0.5504587155963303,0.5108997559128019
Dialysis | r21_c9 | Thursday,Dialysis,r21_c9,Thursday,122,48,True,15:00-15:30,0.5163934426229508,9,0.48360655737704916,77.28813559322035,37.37704918032787,0.19262295081967212,True,True,0.48360655737704916,77.28813559322035,37.37704918032787,0.19262295081967212,0.48360655737704916,77.28813559322035,0.19262295081967212,5.0,0.32948132222520826,4.0,3.0350734094616643,0.6705186777747918,r23_c9,55.0,0.45081967213114754,True,4.0,3.0350734094616643,0.6705186777747918,r23_c9,55.0,0.45081967213114754,0.6705186777747918
Dialysis | r21_c9 | Tuesday,Dialysis,r21_c9,Tuesday,110,48,True,15:00-15:30,0.5454545454545454,6,0.4545454545454546,54.0,24.545454545454547,0.14772727272727273,True,True,0.4545454545454546,54.0,24.545454545454547,0.14772727272727273,0.4545454545454546,54.0,0.14772727272727273,7.0,0.33900826446280985,6.0,2.94978059483179,0.6609917355371902,r18_c6,43.0,0.39090909090909093,True,6.0,2.94978059483179,0.6609917355371902,r18_c6,43.0,0.39090909090909093,0.6609917355371902
Dialysis | r21_c9 | Wednesday,Dialysis,r21_c9,Wednesday,103,52,True,10:30-11:00,0.5631067961165048,4,0.4368932038834952,235.99999999999994,103.10679611650484,0.42961165048543687,True,True,0.4368932038834952,235.99999999999994,103.10679611650484,0.42961165048543687,0.4368932038834952,235.99999999999994,0.42961165048543687,3.0,0.5024978791592044,2.0,1.9900581504408181,0.4975021208407956,r21_c9,59.0,0.5728155339805825,True,2.0,1.9900581504408181,0.4975021208407956,r21_c9,59.0,0.5728155339805825,0.4975021208407956
Dialysis | r22_c31 | Friday,Dialysis,r22_c31,Friday,20,16,True,08:30-09:00,0.4,4,0.6,50.0,30.0,0.25,True,True,0.6,50.0,30.0,0.25,0.6,50.0,0.25,1.0,1.0,0.0,1.0,0.0,r21_c17,20.0,1.0,True,0.0,1.0,0.0,r21_c17,20.0,1.0,0.0
