segment_id,Purpose,origin_zone,weekday,pickup_time_bin_min,pickup_time_bin,time_bin_trips,time_bin_service_days,trips,service_days,policy_flexible,p_time,p_s_t,peak_time_bin_min,peak_time_bin,peak_time_share,signed_shift_minutes,absolute_shift_minutes,is_peak_time,is_alternative_time,capped_shift_minutes,expected_shift_contribution_minutes,temporal_index_contribution,temporal_eligible,meets_reliability_filter,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,alternative_rank
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,960.0,16:00-16:30,43,32,155,53,True,0.27741935483870966,0.27741935483870966,930.0,15:30-16:00,0.2967741935483871,30.0,30.0,False,True,30.0,8.32258064516129,0.06935483870967742,True,True,0.7032258064516129,39.08256880733945,27.483870967741936,0.2290322580645161,0.7032258064516129,39.08256880733945,0.2290322580645161,1
Nutrition | r32_c20 | Friday,Nutrition,r32_c20,Friday,690.0,11:30-12:00,1,1,380,53,True,0.002631578947368421,0.002631578947368421,750.0,12:30-13:00,0.7447368421052631,-60.0,60.0,False,True,60.0,0.15789473684210525,0.0013157894736842105,True,True,0.25526315789473686,169.1752577319587,43.18421052631578,0.19407894736842105,0.25526315789473686,169.1752577319587,0.19407894736842105,5
Nutrition | r32_c20 | Monday,Nutrition,r32_c20,Monday,510.0,08:30-09:00,59,52,293,52,True,0.20136518771331058,0.20136518771331058,750.0,12:30-13:00,0.78839590443686,-240.0,240.0,False,True,120.0,48.32764505119454,0.20136518771331058,True,True,0.21160409556313997,229.8387096774193,48.63481228668942,0.20392491467576793,0.21160409556313997,229.8387096774193,0.20392491467576793,1
Nutrition | r32_c20 | Monday,Nutrition,r32_c20,Monday,780.0,13:00-13:30,3,1,293,52,True,0.010238907849829351,0.010238907849829351,750.0,12:30-13:00,0.78839590443686,30.0,30.0,False,True,30.0,0.30716723549488056,0.0025597269624573382,True,True,0.21160409556313997,229.8387096774193,48.63481228668942,0.20392491467576793,0.21160409556313997,229.8387096774193,0.20392491467576793,2
Nutrition | r32_c20 | Thursday,Nutrition,r32_c20,Thursday,510.0,08:30-09:00,57,52,424,52,True,0.13443396226415094,0.13443396226415094,750.0,12:30-13:00,0.8372641509433962,-240.0,240.0,False,True,120.0,32.264150943396224,0.13443396226415094,True,True,0.16273584905660377,203.91304347826087,33.18396226415094,0.1420990566037736,0.16273584905660377,203.91304347826087,0.1420990566037736,1
Nutrition | r32_c20 | Thursday,Nutrition,r32_c20,Thursday,780.0,13:00-13:30,8,1,424,52,True,0.018867924528301886,0.018867924528301886,750.0,12:30-13:00,0.8372641509433962,30.0,30.0,False,True,30.0,0.5660377358490566,0.0047169811320754715,True,True,0.16273584905660377,203.91304347826087,33.18396226415094,0.1420990566037736,0.16273584905660377,203.91304347826087,0.1420990566037736,2
Nutrition | r32_c20 | Thursday,Nutrition,r32_c20,Thursday,720.0,12:00-12:30,3,1,424,52,True,0.007075471698113208,0.007075471698113208,750.0,12:30-13:00,0.8372641509433962,-30.0,30.0,False,True,30.0,0.21226415094339623,0.001768867924528302,True,True,0.16273584905660377,203.91304347826087,33.18396226415094,0.1420990566037736,0.16273584905660377,203.91304347826087,0.1420990566037736,3
Nutrition | r32_c20 | Thursday,Nutrition,r32_c20,Thursday,810.0,13:30-14:00,1,1,424,52,True,0.0023584905660377358,0.0023584905660377358,750.0,12:30-13:00,0.8372641509433962,60.0,60.0,False,True,60.0,0.14150943396226415,0.0011792452830188679,True,True,0.16273584905660377,203.91304347826087,33.18396226415094,0.1420990566037736,0.16273584905660377,203.91304347826087,0.1420990566037736,4
Nutrition | r32_c20 | Tuesday,Nutrition,r32_c20,Tuesday,510.0,08:30-09:00,55,52,409,52,True,0.13447432762836187,0.13447432762836187,750.0,12:30-13:00,0.863080684596577,-240.0,240.0,False,True,120.0,32.27383863080685,0.13447432762836187,True,True,0.13691931540342295,236.2500000000001,32.34718826405869,0.13508557457212714,0.13691931540342295,236.2500000000001,0.13508557457212714,1
Nutrition | r32_c20 | Tuesday,Nutrition,r32_c20,Tuesday,780.0,13:00-13:30,1,1,409,52,True,0.0024449877750611247,0.0024449877750611247,750.0,12:30-13:00,0.863080684596577,30.0,30.0,False,True,30.0,0.07334963325183375,0.0006112469437652812,True,True,0.13691931540342295,236.2500000000001,32.34718826405869,0.13508557457212714,0.13691931540342295,236.2500000000001,0.13508557457212714,2
Nutrition | r32_c20 | Wednesday,Nutrition,r32_c20,Wednesday,510.0,08:30-09:00,65,52,340,52,True,0.19117647058823528,0.19117647058823528,750.0,12:30-13:00,0.8,-240.0,240.0,False,True,120.0,45.882352941176464,0.19117647058823525,True,True,0.19999999999999996,237.7941176470588,47.558823529411754,0.1977941176470588,0.19999999999999996,237.7941176470588,0.1977941176470588,1
