origin_zone,scored_segments,scored_trips,outcome_trips,cancelled_trips,temporal_weighted_mean,geographical_weighted_mean,weighted_cancellation_rate,row,col,longitude_center,latitude_center
r21_c31,5,605,592,303,0.11694214876033057,0.5013389086266585,0.5118243243243243,21,31,-86.42605201553054,33.33718730434783
r14_c24,10,600,590,363,0.37916666666666665,0.532559631435172,0.6152542372881356,14,24,-86.60844112319043,33.18501339130435
r21_c9,5,552,547,172,0.3211050724637681,0.5673956896702393,0.31444241316270566,21,9,-86.99927492531873,33.33718730434783
r13_c19,9,546,537,244,0.20283882783882784,0.003330003330003332,0.4543761638733706,13,19,-86.7387190572332,33.163274260869564
r17_c17,8,526,525,281,0.0009505703422053234,0.0,0.5352380952380953,17,17,-86.7908302308503,33.250230782608696
r34_c18,13,522,509,226,0.16475095785440613,0.42930589630932053,0.444007858546169,34,18,-86.76477464404175,33.619796
r30_c16,5,519,491,247,0.2071290944123314,0.39679546105627866,0.5030549898167006,30,16,-86.81688581765886,33.53283947826087
r9_c18,10,513,500,163,0.23635477582846,0.007642124310864719,0.326,9,18,-86.76477464404175,33.07631773913044
r25_c10,5,505,503,156,0.0019801980198019802,0.5069830060608871,0.3101391650099404,25,10,-86.97321933851018,33.424143826086954
r34_c22,5,495,488,221,0.1191919191919192,0.011936209467485536,0.45286885245901637,34,22,-86.66055229680754,33.619796
r29_c15,6,491,471,293,0.02240325865580448,0.0808183669690798,0.6220806794055201,29,15,-86.84294140446741,33.51110034782609
r28_c11,5,479,444,125,0.04540709812108559,0.0,0.28153153153153154,28,11,-86.94716375170162,33.489361217391306
r29_c17,7,463,439,255,0.4265658747300216,0.46154823148342056,0.5808656036446469,29,17,-86.7908302308503,33.51110034782609
r34_c20,5,447,416,155,0.006152125279642058,0.02535191877473754,0.37259615384615385,34,20,-86.71266347042464,33.619796
r25_c15,8,430,421,108,0.10116279069767442,0.0,0.25653206650831356,25,15,-86.84294140446741,33.424143826086954
r33_c20,9,427,421,103,0.05327868852459016,0.22417369928016118,0.24465558194774348,33,20,-86.71266347042464,33.59805686956522
r25_c11,5,426,426,132,0.11971830985915492,0.0,0.30985915492957744,25,11,-86.94716375170162,33.424143826086954
r24_c11,10,421,408,230,0.20961995249406176,0.042190408936252165,0.5637254901960784,24,11,-86.94716375170162,33.40240469565217
r29_c13,7,408,400,101,0.056372549019607844,0.07543572984749455,0.2525,29,13,-86.89505257808452,33.51110034782609
r22_c20,2,403,400,159,0.008684863523573201,0.6832657370275852,0.3975,22,20,-86.71266347042464,33.35892643478261
r31_c26,3,386,380,121,0.005181347150259067,0.0,0.31842105263157894,31,26,-86.55632994957332,33.55457860869565
r22_c31,8,379,377,192,0.059366754617414245,0.0,0.5092838196286472,22,31,-86.42605201553054,33.35892643478261
r30_c20,3,379,374,116,0.005936675461741424,0.015705707974781477,0.31016042780748665,30,20,-86.71266347042464,33.53283947826087
r31_c14,9,377,356,165,0.10543766578249338,0.062328549729080224,0.46348314606741575,31,14,-86.86899699127596,33.55457860869565
r35_c15,8,367,363,169,0.11171662125340599,0.19754833268457248,0.465564738292011,35,15,-86.84294140446741,33.64153513043478
r11_c20,7,367,364,108,0.3692098092643052,0.0,0.2967032967032967,11,20,-86.71266347042464,33.119796
r26_c12,3,351,342,147,0.08547008547008547,0.7190029660226013,0.4298245614035088,26,12,-86.92110816489307,33.44588295652174
r31_c18,4,350,331,203,0.0007142857142857143,0.0,0.6132930513595166,31,18,-86.76477464404175,33.55457860869565
r11_c14,5,350,338,103,0.09785714285714285,0.0,0.3047337278106509,11,14,-86.86899699127596,33.119796
r18_c16,6,336,331,122,0.011904761904761904,0.0,0.3685800604229607,18,16,-86.81688581765886,33.27196991304348
r30_c11,5,334,319,100,0.11526946107784432,0.0,0.31347962382445144,30,11,-86.94716375170162,33.53283947826087
r23_c11,5,329,325,119,0.14361702127659576,0.0,0.36615384615384616,23,11,-86.94716375170162,33.38066556521739
r25_c33,5,327,322,145,0.0061162079510703364,0.0,0.4503105590062112,25,33,-86.37394084191344,33.424143826086954
r30_c13,5,319,303,173,0.16065830721003135,0.0,0.570957095709571,30,13,-86.89505257808452,33.53283947826087
r32_c13,8,318,286,137,0.13286163522012578,0.0,0.479020979020979,32,13,-86.89505257808452,33.57631773913044
r37_c22,8,297,296,55,0.007575757575757576,0.0,0.1858108108108108,37,22,-86.66055229680754,33.68501339130435
r31_c10,5,282,279,51,0.0070921985815602835,0.0,0.1827956989247312,31,10,-86.97321933851018,33.55457860869565
r26_c9,5,276,275,56,0.0036231884057971015,0.0,0.20363636363636364,26,9,-86.99927492531873,33.44588295652174
r24_c15,5,270,247,88,0.05462962962962964,0.0,0.3562753036437247,24,15,-86.84294140446741,33.40240469565217
r34_c23,4,270,264,117,0.04814814814814815,0.015555555555555557,0.4431818181818182,34,23,-86.63449670999898,33.619796
r26_c10,8,268,262,113,0.06716417910447761,0.13069118743105154,0.4312977099236641,26,10,-86.97321933851018,33.44588295652174
r22_c9,3,255,254,144,0.11078431372549019,0.0,0.5669291338582677,22,9,-86.99927492531873,33.35892643478261
r30_c15,5,254,244,83,0.018700787401574805,0.0,0.3401639344262295,30,15,-86.84294140446741,33.53283947826087
r20_c22,3,253,253,113,0.11264822134387352,0.0,0.44664031620553357,20,22,-86.66055229680754,33.31544817391305
r37_c17,3,253,252,103,0.04743083003952569,0.0,0.4087301587301587,37,17,-86.7908302308503,33.68501339130435
r16_c17,8,250,248,206,0.386,0.5966341113067686,0.8306451612903226,16,17,-86.7908302308503,33.228491652173915
r16_c14,4,247,236,84,0.05060728744939271,0.0,0.3559322033898305,16,14,-86.86899699127596,33.228491652173915
r25_c12,5,239,224,113,0.12552301255230125,0.0,0.5044642857142857,25,12,-86.92110816489307,33.424143826086954
r28_c6,5,232,218,77,0.10775862068965517,0.0,0.3532110091743119,28,6,-87.0774416857444,33.489361217391306
r28_c13,5,226,213,100,0.10619469026548672,0.0,0.4694835680751174,28,13,-86.89505257808452,33.489361217391306
r35_c20,4,220,203,55,0.0011363636363636363,0.008928571428571433,0.270935960591133,35,20,-86.71266347042464,33.64153513043478
r10_c15,5,211,209,44,0.031990521327014215,0.11990668055698209,0.21052631578947367,10,15,-86.84294140446741,33.09805686956522
r28_c14,5,205,202,62,0.02195121951219512,0.02731707317073169,0.3069306930693069,28,14,-86.86899699127596,33.489361217391306
r35_c22,3,193,191,37,0.04404145077720207,0.0,0.193717277486911,35,22,-86.66055229680754,33.64153513043478
r31_c19,4,191,186,66,0.058900523560209424,0.02755580049600442,0.3548387096774194,31,19,-86.7387190572332,33.55457860869565
r26_c14,3,187,184,59,0.12299465240641712,0.0,0.32065217391304346,26,14,-86.86899699127596,33.44588295652174
r38_c24,5,185,184,51,0.06891891891891892,0.4368840538651859,0.27717391304347827,38,24,-86.60844112319043,33.70675252173913
r35_c16,5,180,179,120,0.4041666666666667,0.6116295698304692,0.6703910614525139,35,16,-86.81688581765886,33.64153513043478
r11_c24,3,174,172,98,0.017241379310344827,0.0,0.5697674418604651,11,24,-86.60844112319043,33.119796
r10_c13,3,172,170,50,0.00872093023255814,0.0,0.29411764705882354,10,13,-86.89505257808452,33.09805686956522
r25_c21,2,162,156,70,0.006172839506172839,0.07163542142966028,0.44871794871794873,25,21,-86.68660788361609,33.424143826086954
r11_c18,9,157,146,89,0.18630573248407642,0.2522798503690223,0.6095890410958904,11,18,-86.76477464404175,33.119796
r20_c20,3,157,151,62,0.06528662420382166,0.0,0.4105960264900662,20,20,-86.71266347042464,33.31544817391305
r13_c17,5,156,149,109,0.09294871794871795,0.0,0.7315436241610739,13,17,-86.7908302308503,33.163274260869564
r27_c17,6,151,147,64,0.12086092715231789,0.1446992308124492,0.43537414965986393,27,17,-86.7908302308503,33.467622086956524
r35_c14,2,141,139,52,0.1046099290780142,0.0,0.37410071942446044,35,14,-86.86899699127596,33.64153513043478
r33_c16,6,132,129,77,0.10416666666666667,0.03581267217630854,0.5968992248062015,33,16,-86.81688581765886,33.59805686956522
r14_c16,5,132,82,52,0.003787878787878788,0.0,0.6341463414634146,14,16,-86.81688581765886,33.18501339130435
r40_c16,5,128,124,72,0.009765625,0.359729972718254,0.5806451612903226,40,16,-86.81688581765886,33.750230782608696
r16_c15,3,122,115,60,0.08401639344262295,0.0,0.5217391304347826,16,15,-86.84294140446741,33.228491652173915
r31_c9,2,120,120,56,0.16666666666666666,0.0,0.4666666666666667,31,9,-86.99927492531873,33.55457860869565
r26_c22,2,114,111,29,0.002192982456140351,0.0,0.26126126126126126,26,22,-86.66055229680754,33.44588295652174
r35_c23,5,114,112,64,0.3048245614035088,0.7577414845593516,0.5714285714285714,35,23,-86.63449670999898,33.64153513043478
r19_c16,5,107,89,60,0.0911214953271028,0.04876066639577406,0.6741573033707865,19,16,-86.81688581765886,33.29370904347826
r10_c20,3,105,102,70,0.0761904761904762,0.0,0.6862745098039216,10,20,-86.71266347042464,33.09805686956522
r21_c16,2,104,100,30,0.004807692307692308,0.0,0.3,21,16,-86.81688581765886,33.33718730434783
r39_c13,5,104,103,62,0.2283653846153846,0.0,0.6019417475728155,39,13,-86.89505257808452,33.728491652173915
r33_c9,4,103,101,53,0.17233009708737865,0.035750999428897756,0.5247524752475248,33,9,-86.99927492531873,33.59805686956522
r31_c12,5,99,98,56,0.06818181818181818,0.0,0.5714285714285714,31,12,-86.92110816489307,33.55457860869565
r28_c9,5,96,96,36,0.03125,0.0,0.375,28,9,-86.99927492531873,33.489361217391306
r12_c25,5,90,89,87,0.21388888888888888,0.1715079365079365,0.9775280898876404,12,25,-86.58238553638188,33.14153513043478
r27_c13,5,89,80,39,0.0702247191011236,0.0,0.4875,27,13,-86.89505257808452,33.467622086956524
r34_c16,2,81,80,32,0.015432098765432098,0.0,0.4,34,16,-86.81688581765886,33.619796
r32_c14,5,81,78,48,0.2006172839506173,0.0,0.6153846153846154,32,14,-86.86899699127596,33.57631773913044
r25_c19,3,79,75,54,0.15822784810126583,0.0,0.72,25,19,-86.7387190572332,33.424143826086954
r23_c15,3,74,54,31,0.0472972972972973,0.0,0.5740740740740741,23,15,-86.84294140446741,33.38066556521739
r28_c12,2,63,62,21,0.023809523809523808,0.0,0.3387096774193548,28,12,-86.92110816489307,33.489361217391306
r26_c4,3,63,60,39,0.07936507936507936,0.2318465847877613,0.65,26,4,-87.12955285936151,33.44588295652174
r31_c20,3,63,63,27,0.06349206349206349,0.05396825396825394,0.42857142857142855,31,20,-86.71266347042464,33.55457860869565
r18_c15,4,62,61,46,0.41935483870967744,0.6074115225587876,0.7540983606557377,18,15,-86.84294140446741,33.27196991304348
r36_c23,4,61,61,30,0.11885245901639342,0.1405152224824356,0.4918032786885246,36,23,-86.63449670999898,33.663274260869564
r19_c14,3,61,61,58,0.29918032786885246,0.2757352941176471,0.9508196721311475,19,14,-86.86899699127596,33.29370904347826
r15_c15,2,59,52,41,0.06779661016949153,0.0,0.7884615384615384,15,15,-86.84294140446741,33.20675252173913
r23_c17,1,56,49,46,0.05803571428571429,0.0,0.9387755102040817,23,17,-86.7908302308503,33.38066556521739
r21_c13,1,55,54,18,0.11818181818181818,0.0,0.3333333333333333,21,13,-86.89505257808452,33.33718730434783
r18_c6,2,54,53,13,0.1111111111111111,0.0,0.24528301886792453,18,6,-87.0774416857444,33.27196991304348
r22_c16,2,52,52,35,0.4855769230769231,0.4225961538461539,0.6730769230769231,22,16,-86.81688581765886,33.35892643478261
r37_c24,2,50,48,22,0.0,0.0,0.4583333333333333,37,24,-86.60844112319043,33.68501339130435
r33_c23,3,48,48,38,0.4479166666666667,0.6176306332556333,0.7916666666666666,33,23,-86.63449670999898,33.59805686956522
r36_c15,2,43,39,22,0.11046511627906977,0.0,0.5641025641025641,36,15,-86.84294140446741,33.663274260869564
r19_c22,3,40,40,16,0.0,0.0,0.4,19,22,-86.66055229680754,33.29370904347826
r20_c9,2,35,34,9,0.07142857142857142,0.0,0.2647058823529412,20,9,-86.99927492531873,33.31544817391305
r27_c16,3,35,35,27,0.32857142857142857,0.24935064935064932,0.7714285714285715,27,16,-86.81688581765886,33.467622086956524
r17_c15,3,35,35,5,0.02857142857142857,0.0,0.14285714285714285,17,15,-86.84294140446741,33.250230782608696
r21_c14,1,34,20,7,0.058823529411764705,0.0,0.35,21,14,-86.86899699127596,33.33718730434783
r29_c8,3,33,31,20,0.08333333333333333,0.20745920745920732,0.6451612903225806,29,8,-87.0253305121273,33.51110034782609
r32_c21,2,29,29,22,0.3448275862068966,0.5112732095490716,0.7586206896551724,32,21,-86.68660788361609,33.57631773913044
r20_c21,2,28,28,21,0.23214285714285715,0.21848739495798325,0.75,20,21,-86.68660788361609,33.31544817391305
r29_c10,2,26,19,18,0.0673076923076923,0.0,0.9473684210526315,29,10,-86.97321933851018,33.51110034782609
